Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address
"Imadol Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur","['imadol -4 lalitpur', ' Imadol', ' Lalitpur']","NPR. 1,90,00,000 Onwards",4,3,,1,North,2076.0,2.3K,3.5 Aana,0 Feet,N/A Aana,3 years ago,[], Lalitpur, Imadol
"Commercial House For Sale At Putalisadak : House For Sale In Putalisadak, Kathmandu","['Putalisadak', ' Putalisadak', ' Kathmandu']","NPR. 12,00,00,000 Onwards",0,0,5.0,0,West,,2.4K,0-3-2-1 Aana,30 Feet / Blacktopped,0-3-2-1 Aana,3 years ago,"['Drainage', 'Water Supply']", Kathmandu, Putalisadak
"House For Sale : House For Sale In Pepsicola, Kathmandu","['Khahare Chowk', ' Pepsicola', ' Kathmandu']","NPR. 3,40,00,000 Onwards",5,4,,1,South,,1.4K,6 Aana,14 Feet,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Kathmandu, Pepsicola
"Imadol Buddha Party Palace Najik Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur","['Imadol near buddha party palace', ' Imadol', ' Lalitpur']","NPR. 1,80,00,000 Per Acres",4,3,2.0,1,South,2076.0,3.1K,0-3-0-2 Aana,0 Feet,N/A Aana,3 years ago,[], Lalitpur, Imadol
"SOLD OUT: 3.5 Storey : House For Sale In Sipadol, Bhaktapur","['Darjeling Height', ' Sipadol', ' Bhaktapur']","NPR. 1,90,00,000 Total price",7,4,3.5,1,West,2076.0,8.8K,0-3-0-0 Aana,20 Feet / Gravelled,3500 Aana,3 years ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']", Bhaktapur, Sipadol
"SOLD OUT: 2.5 Storey : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Lalitpur']","NPR. 1,70,00,000 Total price",4,3,2.5,1,South,2076.0,2.5K,0-3-1-2 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"['Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking']", Lalitpur, Imadol
"House On Sale : House For Sale In Tokha, Kathmandu","['Chaising tole', ' Tokha', ' Kathmandu']","NPR. 1,90,00,000 Onwards",4,3,2.0,1,East,2075.0,1.3K,0-4-3-2/145.61 Aana,12 Feet,N/A Aana,3 years ago,[], Kathmandu, Tokha
"SOLD OUT: Newly Built : House For Sale In Imadol, Lalitpur","['Ochu height', ' Koreran college', ' Imadol', ' Lalitpur']","NPR. 1,70,00,000 Total price",8,3,2.5,1,South,2076.0,3.6K,0-3-0-0 Aana,13 Feet / Gravelled,95 Aana,3 years ago,"['Electricity Backup', 'Internet', 'Parking']", Lalitpur, Imadol
"1 Floor House On Sale In Sychataar Kalanki : House For Sale In Tarakeshwar, Kathmandu","['Sychataar', ' Tarakeshwar', ' Kathmandu']","NPR. 1,15,00,000 Onwards",2,1,1.0,1,North East,2073.0,1.5K,0-4-0-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['TV Cable', 'Solar Water', 'Water Tank', 'Water Well', 'Washing Machine']", Kathmandu, Tarakeshwar
"Imadol Ko Ghar Bikrima : House For Sale In Imadol, Lalitpur","['imadol -4 lalitpur', ' Imadol', ' Lalitpur']","NPR. 1,97,00,000",4,4,3.0,2,South,2076.0,2K,3.5 Aana,13 Feet,N/A Aana,3 years ago,"['Garage', 'Balcony']", Lalitpur, Imadol
"Most Premium Bungalow At Mandikatar : House For Sale In Mandikatar, Kathmandu","['Na', ' Mandikatar', ' Kathmandu']","NPR. 29,00,00,000",6,5,2.0,20,East,2068.0,1.7K,55 Anand Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Lawn', 'Garage', 'Balcony', 'Fencing', 'Deck', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']", Kathmandu, Mandikatar
"Baniyatar Tokha Home : House For Sale In Baniyatar, Kathmandu","['Na', ' Baniyatar', ' Kathmandu']","NPR. 2,90,00,000",6,5,3.0,1,East,2076.0,1.9K,4 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"['Water Tank', 'Garage']", Kathmandu, Baniyatar
"Hattigauda 8.5 Ana Bungalow : House For Sale In Hattigauda, Kathmandu","['Na', ' Hattigauda', ' Kathmandu']","NPR. 4,50,00,000",6,6,3.0,3,East,2075.0,1.3K,8.5 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"['Garage', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']", Kathmandu, Hattigauda
"Especial Chok Family Bungalow : House For Sale In Golfutar, Kathmandu","['Na', ' Golfutar', ' Kathmandu']","NPR. 3,60,00,000",4,5,3.0,3,West,2075.0,1K,7 Aana,30 Feet / Soil Stabilized,N/A Aana,3 years ago,"['Garage', 'Garden', 'Balcony', 'Drainage', 'Water Tank', 'Solar Water', 'Water Supply', 'Store Room', 'Parking']", Kathmandu, Golfutar
"Hattigauda Bungalow : House For Sale In Hattigauda, Kathmandu","['Na', ' Hattigauda', ' Kathmandu']","NPR. 3,55,00,000",5,5,3.0,2,North West,2075.0,1.1K,5.5 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Parking', 'Store Room']", Kathmandu, Hattigauda
"House And Land Sell At Lainchaur : House For Sale In Lainchaur, Kathmandu","['Hanuman chowk marga', ' Lainchaur', ' Kathmandu']","NPR. 61,00,000 Per Aana",0,0,3.0,0,North,,1.7K,0-3-0-1 Aana,16 Feet / Blacktopped,N/A Aana,3 years ago,[], Kathmandu, Lainchaur
"House For Sale In Thulo Bharyang, Kathmandu","['Thulobharang', ' Swagthchowk', ' Thulo Bharyang', ' Kathmandu']","NPR. 2,37,00,000 Onwards",3,4,3.0,0,South West,,1.5K,2.75 Aana,13 Feet,2.75 Aana,3 years ago,"['Water Supply', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'TV Cable', 'Internet']", Kathmandu, Thulo Bharyang
"Gorgeous Bungalow For Family : House For Sale In Budhanilkantha, Kathmandu","['Na', ' Budhanilkantha', ' Kathmandu']","NPR. 4,00,00,000",5,5,3.0,3,East,2076.0,1.1K,7.5 Aana,20 Feet / Paved,2700 Sq. Feet,3 years ago,"['Balcony', 'Water Supply', 'Drainage', 'Solar Water']", Kathmandu, Budhanilkantha
"Newly Built House On Sale : House For Sale In Ason, Kathmandu","['Goshiphal Marg', ' Ason', ' Kathmandu']","NPR. 1,75,00,000",5,3,7.0,0,West,2075.0,1.5K,0-0-2 Paisa,26 Feet / Blacktopped,0-0-2 Paisa,3 years ago,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank']", Kathmandu, Ason
"Comfort Housing : House For Sale In Thaiba, Lalitpur","['Comfort Housing', ' Thaiba', ' Lalitpur']","NPR. 1,90,00,000",3,2,2.5,2,South,2070.0,33.8K,0-3-0-0 Aana,20 Feet / Paved,N/A Aana,2 years ago,"['Balcony', 'Garden', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'CCTV', 'Electricity Backup', 'Kids Playground', 'Parking', 'Security Staff']", Lalitpur, Thaiba
"SOLD OUT: Brand New : House For Sale In Gongabu, Kathmandu","['Dhaneshwor Temple', ' Gongabu', ' Kathmandu']","NPR. 2,60,00,000 Total price",4,3,2.5,0,North,2076.0,2.2K,0-3-2-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Water Well', 'Electricity Backup', 'Parking']", Kathmandu, Gongabu
"Gorgeous Bungalow : House For Sale In Chapali, Kathmandu","['Na', ' Chapali', ' Kathmandu']","NPR. 6,80,00,000",5,5,3.0,4,East,2076.0,2.8K,12 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Air Condition', 'Lawn', 'Balcony', 'Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']", Kathmandu, Chapali
"Surya Danda Home : House For Sale In Dhapasi, Kathmandu","['Na', ' Dhapasi', ' Kathmandu']","NPR. 2,55,00,000",5,6,3.0,1,East,2076.0,1.2K,3.5 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,['Garage'], Kathmandu, Dhapasi
"Modern Bungalow With Limitless View : House For Sale In Dhapasi, Kathmandu","['Na', ' Dhapasi', ' Kathmandu']","NPR. 6,50,00,000",6,6,3.0,3,West,2076.0,766,8 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Parking', 'Water Supply', 'Drainage', 'Balcony', 'Air Condition', 'Store Room']", Kathmandu, Dhapasi
"Sundarbasti Beautiful Home : House For Sale In Bhangal, Kathmandu","['Na', ' Bhangal', ' Kathmandu']","NPR. 2,15,00,000",6,5,3.0,1,North East,2076.0,990,3.5 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"['Garage', 'Drainage', 'Solar Water']", Kathmandu, Bhangal
"Bungalow For Sale : House For Sale In Pasikot, Kathmandu","['Na', ' Pasikot', ' Kathmandu']","NPR. 8,00,00,000",4,4,3.0,4,East,2072.0,1.2K,21 Aana,14 Feet / Blacktopped,N/A Aana,3 years ago,"['Air Condition', 'Lawn', 'Balcony', 'Garden', 'Modular Kitchen', 'Water Supply', 'Solar Water', 'Drainage', 'Water Well', 'Water Tank', 'Parking', 'Store Room']", Kathmandu, Pasikot
"Sundarbasti Bhangal Small Home : House For Sale In Bhangal, Kathmandu","['Man', ' Bhangal', ' Kathmandu']","NPR. 1,99,00,000",6,5,3.0,1,South West,2076.0,1.2K,3.1 Aana,12 Feet / Paved,N/A Aana,3 years ago,"['Garage', 'Balcony']", Kathmandu, Bhangal
"Small Family Home Bhngal Mandikatar : House For Sale In Mandikatar, Kathmandu","['Na', ' Mandikatar', ' Kathmandu']","NPR. 1,82,00,000",6,0,3.0,5,West,2076.0,1.4K,3 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,['Garage'], Kathmandu, Mandikatar
"Dhapasi Big Bungalow : House For Sale In Dhapasi, Kathmandu","['Man', ' Dhapasi', ' Kathmandu']","NPR. 7,20,00,000",5,5,3.0,0,South West,2070.0,1.6K,17 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,[], Kathmandu, Dhapasi
"5 Bhk Bungalow Budhanilkantha Chapali : House For Sale In Budhanilkantha, Kathmandu","['NA', ' Budhanilkantha', ' Kathmandu']","NPR. 5,75,00,000",6,5,3.0,6,North West,2075.0,813,12 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Lawn', 'Balcony', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']", Kathmandu, Budhanilkantha
"Baluwatar Family Bungalow : House For Sale In Baluwatar, Kathmandu","['NA', ' Baluwatar', ' Kathmandu']","NPR. 6,00,00,000",5,5,3.0,0,North East,2076.0,880,6 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Modular Kitchen', 'Garden', 'Balcony', 'Air Condition']", Kathmandu, Baluwatar
"Dhapasi Sweet Bungalow : House For Sale In Dhapasi, Kathmandu","['NA', ' Dhapasi', ' Kathmandu']","NPR. 6,60,00,000",5,5,3.0,4,South East,2071.0,1.2K,14 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Air Condition', 'Lawn', 'Balcony', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room', 'Security Staff']", Kathmandu, Dhapasi
"Family Home Ekatabasti : House For Sale In Ekatabasti, Kathmandu","['NA', ' Ekatabasti', ' Kathmandu']","NPR. 2,99,00,000",7,5,3.0,1,South West,2076.0,832,4 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Garage', 'TV Cable', 'Solar Water', 'Drainage', 'Water Supply', 'Water Well', 'Internet']", Kathmandu, Ekatabasti
"Jyotinagar Family Home : House For Sale In Ekatabasti, Kathmandu","['Man', ' Ekatabasti', ' Kathmandu']","NPR. 2,99,00,000 Onwards",7,7,3.0,1,South East,2076.0,924,4 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Water Well', 'Internet', 'Store Room', 'Water Tank', 'Solar Water', 'Drainage', 'Wifi', 'Water Supply', 'TV Cable']", Kathmandu, Ekatabasti
"Dhapasi Bungalow : House For Sale In Dhapasi, Kathmandu","['Na', ' Dhapasi', ' Kathmandu']","NPR. 3,35,00,000",4,4,3.0,1,North East,2072.0,931,5 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Air Condition', 'Balcony', 'TV Cable', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']", Kathmandu, Dhapasi
"New Modern : House For Sale In Hattiban, Lalitpur","['I.J pioneer school', ' Hattiban', ' Lalitpur']","NPR. 3,75,00,000 Total price",5,4,,1,East,2075.0,20.5K,0-4-3-0 Aana,16 Feet / Gravelled,1138 Aana,3 years ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Lalitpur, Hattiban
"House For Sale At Civil Homes : House For Sale In Balkhu, Kathmandu","['Tinthana', ' Balkhu', ' Kathmandu']","NPR. 2,30,00,000 Total price",3,2,3.0,3,East,,2.5K,0-4-5-0 Aana,20 Feet,4 Aana,3 years ago,"['Lawn', 'Garage', 'Air Condition', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Tank', 'Internet', 'Parking', 'Store Room']", Kathmandu, Balkhu
"Bungalow With Limitless View : House For Sale In Dhapasi, Kathmandu","['NA', ' Dhapasi', ' Kathmandu']","NPR. 6,50,00,000",5,5,,3,South,2076.0,548,8 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Air Condition', 'Balcony', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Wifi', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Security Staff', 'Maintenance']", Kathmandu, Dhapasi
"Sanobharyang Family Home : House For Sale In Swayambhu, Kathmandu","['Na', ' Swayambhu', ' Kathmandu']","NPR. 2,06,00,000 Onwards",5,3,3.0,1,North East,2076.0,2K,3.1 Aana,13 Feet / Soil Stabilized,N/A Aana,3 years ago,"['Garage', 'Water Supply', 'Drainage']", Kathmandu, Swayambhu
"House For Sale : House For Sale In Kageshwari-Manohara, Kathmandu","['Khahare-Gothatar near mahantar chowk', ' Kageshwari-Manohara', ' Kathmandu']","NPR. 2,60,00,000 Onwards",5,3,3.0,1,West,2015.0,995,4 Aana,26 Feet / Blacktopped,4 Aana,3 years ago,"['Wifi', 'Water Tank', 'Water Supply', 'Balcony', 'Water Well', 'TV Cable']", Kathmandu, Kageshwari-Manohara
"Siddarthcolony 7 Ana Home : House For Sale In Budhanilkantha, Kathmandu","['na', ' Budhanilkantha', ' Kathmandu']","NPR. 4,50,00,000",4,5,3.0,3,South East,2075.0,849,7 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garden', 'Drainage', 'Water Supply', 'Solar Water', 'TV Cable']", Kathmandu, Budhanilkantha
"Luxury Bungalow At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['na', ' Budhanilkantha', ' Kathmandu']","NPR. 40,00,00,000",6,6,3.0,20,East,2073.0,5.3K,4.9.0.0 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Lawn', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Garden', 'Gym', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']", Kathmandu, Budhanilkantha
"Newly Built House For Sale At Guheshwori : House For Sale In Guheshwori, Kathmandu","['Nayabasti', ' planing', ' Guheshwori', ' Kathmandu']","NPR. 2,85,00,000 Total price",8,3,3.0,1,North East,2073.0,1.8K,0-4-0-0 Aana,16 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Garden', 'Drainage', 'Water Supply', 'Water Well', 'Electricity Backup', 'Parking']", Kathmandu, Guheshwori
"SOLD OUT: Brand New Bungalow. : House For Sale In Sanobharyang, Kathmandu","['army medical college', ' Sanobharyang', ' Kathmandu']","NPR. 4,00,00,000 Total price",0,0,2.5,1,North,2076.0,2.8K,0-5-0-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Sanobharyang
"New House On Sale In Imadol Height : House For Sale In Imadol, Lalitpur","['Imadol', ' Imadol', ' Lalitpur']","NPR. 1,92,00,000 Onwards",4,5,3.0,1,East,2018.0,7.8K,0-3-0-1 Aana,20 Feet / Blacktopped,3 Aana,3 years ago,"['Balcony', 'Gym', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Solar Water', 'Water Well', 'Cafeteria']", Lalitpur, Imadol
"4 Aana Home At Ekatabasti : House For Sale In Ekatabasti, Kathmandu","['na', ' Ekatabasti', ' Kathmandu']","NPR. 3,60,00,000",5,5,3.0,2,East,2074.0,515,5.5 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Balcony', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']", Kathmandu, Ekatabasti
"4 Aana Home At Sitapaila : House For Sale In Sitapaila, Kathmandu","['na', ' Sitapaila', ' Kathmandu']","NPR. 2,05,00,000",4,4,,1,South,2074.0,873,4 Aana,15 Feet / Gravelled,N/A Aana,3 years ago,"['Garage', 'Drainage']", Kathmandu, Sitapaila
"Sitapaila Home 180 : House For Sale In Sitapaila, Kathmandu","['Sitapaila', ' Sitapaila', ' Kathmandu']","NPR. 1,80,00,000",4,4,3.0,1,North,2075.0,1.8K,3.1 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,['Drainage'], Kathmandu, Sitapaila
"Surya Darshan Height Home : House For Sale In Tokha, Kathmandu","['Surya Darshan Height', ' Tokha', ' Kathmandu']","NPR. 2,30,00,000",6,5,3.0,1,East,2075.0,1.7K,4 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Drainage', 'TV Cable', 'Water Supply']", Kathmandu, Tokha
"Beautiful Bungalow Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' Budhanilkantha', ' Kathmandu']","NPR. 7,20,00,000",5,5,3.0,4,East,2075.0,1.2K,13 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Lawn', 'Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water']", Kathmandu, Budhanilkantha
"Small Family Home Mandikatar : House For Sale In Mandikatar, Kathmandu","['Mandikatar', ' Mandikatar', ' Kathmandu']","NPR. 1,99,00,000",6,4,3.0,1,South East,2073.0,4K,3.1 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,['Garage'], Kathmandu, Mandikatar
"Sundarbasti New Home : House For Sale In Bhangal, Kathmandu","['Sundarbasti', ' Bhangal', ' Kathmandu']","NPR. 2,15,00,000",5,5,3.0,1,South,2076.0,761,3.5 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,['Garage'], Kathmandu, Bhangal
"Dhubarahi 8 Ana Home : House For Sale In Dhumbarahi, Kathmandu","['Dhumbarahi', ' Dhumbarahi', ' Kathmandu']","NPR. 6,20,00,000 Onwards",7,7,3.0,3,East,2074.0,788,8 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Garden', 'Balcony', 'Garage', 'Drainage']", Kathmandu, Dhumbarahi
"Property At New Baneshwor : House For Sale In Baneshwor, Kathmandu","['66/51', ' Janasahayog Marga', ' Baneshwor', ' Kathmandu']","NPR. 3,45,00,000 Onwards",6,3,2.0,2,North East,2000.0,2.3K,4 Aana,0 Feet,3 1/2 Aana,3 years ago,[], Kathmandu, Baneshwor
"Dhapasi Bungalow : House For Sale In Basundhara, Kathmandu","['Dhapasi', ' Basundhara', ' Kathmandu']","NPR. 7,00,00,000",4,4,2.0,4,West,2064.0,1.2K,16 Aana,14 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Garden', 'Solar Water', 'Drainage']", Kathmandu, Basundhara
"15 Ana Bungalow Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['na', ' Budhanilkantha', ' Kathmandu']","NPR. 6,50,00,000",5,5,3.0,4,South,2069.0,1.1K,15 Aana,14 Feet / Blacktopped,5 Aana,3 years ago,"['Air Condition', 'Lawn', 'Garden']", Kathmandu, Budhanilkantha
"Land With A House In Paknajol On Sale : House For Sale In Paknajol, Kathmandu","['Fireflies Hostel', ' Paknajol', ' Kathmandu']","NPR. 5,50,00,000 Onwards",0,0,,0,East,,1.7K,6.2 Aana,10 Meter / Gravelled,N/A Aana,3 years ago,[], Kathmandu, Paknajol
"Bunglow At Chabahil : House For Sale In Chabahil, Kathmandu","['Lampokhari Chowk', ' Chabahil', ' Kathmandu']","NPR. 58,00,000 Per Aana",0,2,2.0,2,North,2060.0,2.5K,10 Aana,18 Feet / Paved,4 Aana,3 years ago,"['Lawn', 'Garage', 'Garden', 'TV Cable', 'Solar Water', 'Water Supply', 'Drainage', 'Water Well', 'Water Tank']", Kathmandu, Chabahil
"SOLD OUT : House For Sale In Dharmasthali, Kathmandu","['jharankhu', ' Dharmasthali', ' Kathmandu']","NPR. 1,35,00,000 Total price",0,0,,1,South East,,1.8K,0-2-2-0 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[], Kathmandu, Dharmasthali
"SOLD OUT : House For Sale In Bafal, Kathmandu","['sitapaila', ' Bafal', ' Kathmandu']","NPR. 2,55,00,000 Total price",0,0,3.5,0,North,2070.0,5.9K,0-4-2-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']", Kathmandu, Bafal
"SOLD OUT : House For Sale In Harisiddhi, Lalitpur","['Harisiddhi', ' Harisiddhi', ' Lalitpur']","NPR. 2,80,00,000 Total price",0,0,,0,South,,1.9K,0-5-3-0 Aana,20 Feet,N/A Aana,3 years ago,[], Lalitpur, Harisiddhi
"SOLD OUT : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' Budhanilkantha', ' Kathmandu']","NPR. 2,20,00,000",10,0,3.0,0,North,,2.2K,5 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,[], Kathmandu, Budhanilkantha
"SOLD OUT : House For Sale In Thankot, Kathmandu","['dauradipo haiway', ' Thankot', ' Kathmandu']","NPR. 1,15,00,000 Total price",0,0,,0,East,,1K,0-3-2-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,[], Kathmandu, Thankot
"SOLD OUT : House For Sale In Balkhu, Kathmandu","['Trishakti Petrol Pump', ' Balkhu', ' Kathmandu']","NPR. 6,00,00,000 Total price",0,0,4.0,0,South,,1.3K,5.1 Aana,0 Feet,N/A Aana,3 years ago,[], Kathmandu, Balkhu
"House For Sale In Banasthali, Kathmandu","['Banasthali', ' Banasthali', ' Kathmandu']","NPR. 3,70,00,000 Onwards",7,6,4.0,1,South,2016.0,1.6K,0-5-0-0 Aana,16 Feet / Blacktopped,3525 Sq. Feet,3 years ago,"['Washing Machine', 'Solar Water', 'Water Tank', 'Internet', 'Microwave', 'Parking', 'Water Well', 'Water Supply', 'Drainage', 'TV Cable']", Kathmandu, Banasthali
"SOLD OUT : House For Sale In Lokanthali, Bhaktapur","['Lokanthali', ' Lokanthali', ' Bhaktapur']","NPR. 2,70,00,000 Total price",16,3,3.0,0,North,,1.4K,6 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,[], Bhaktapur, Lokanthali
"SOLD OUT: Sukedhra Ektabasti House In Sell : House For Sale In Ekatabasti, Kathmandu","['House', ' Ekatabasti', ' Kathmandu']","NPR. 2,75,00,000 Onwards",7,0,3.0,2,East,2019.0,3.7K,4.5 Aana,13 Feet / Blacktopped,3.5 Aana,3 years ago,['Air Condition'], Kathmandu, Ekatabasti
"Sold Out : House At Golfutar : House For Sale In Golfutar, Kathmandu","['Golfutar', ' Golfutar', ' Kathmandu']","NPR. 1,80,00,000 Onwards",6,4,3.0,2,East,2019.0,2.3K,3 Aana,13 Feet / Gravelled,2 Aana,3 years ago,['Air Condition'], Kathmandu, Golfutar
"House For Sale In Naya Bazar, Kathmandu","['Rayamajhi', ' Naya Bazar', ' Kathmandu']","NPR. 3,20,00,000",8,4,,1,North,,2.6K,0-3-1-0 Aana,0 Feet,N/A Aana,3 years ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Water Supply', 'Water Well', 'Solar Water', 'Drainage', 'Electricity Backup', 'Parking', 'Store Room', 'Water Tank']", Kathmandu, Naya Bazar
"Modern Bungalow House For Rent/ Sale : House For Sale In Kusunti, Lalitpur","['kusunti', ' Kusunti', ' Lalitpur']","NPR. 3,65,00,000",4,4,3.0,3,North West,2020.0,97.7K,0-5-2-2 Aana,13 Feet / Blacktopped,2200 Aana,2 years ago,"['Lawn', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Water Supply', 'Water Tank', 'Water Well', 'Lift']", Lalitpur, Kusunti
"Urgent House On Sale : House For Sale In Pepsicola, Kathmandu","['Harharmahadev', ' Pepsicola', ' Kathmandu']","NPR. 1,35,00,000",4,3,3.0,1,South East,2019.0,14.4K,2.5 Aana,13 Feet / Gravelled,2.5 Aana,3 years ago,"['Water Tank', 'Water Well', 'Parking']", Kathmandu, Pepsicola
"House On Sale In Bhimsengola, Old Baneswor Saypatri Tole : House For Sale In Battisputali, Kathmandu","['House No 21 Satapatri Tole', ' Battisputali', ' Kathmandu']","NPR. 1,80,00,000",0,3,3.0,1,East,,2.4K,0-3-1-1 Aana,9 Feet / Paved,2.2 Aana,3 years ago,"['TV Cable', 'Drainage', 'Water Supply', 'Balcony']", Kathmandu, Battisputali
"SOLD OUT : House For Sale In Sano Gaun, Lalitpur","['Sanogaun', ' Sano Gaun', ' Lalitpur']","NPR. 1,45,00,000 Total price",0,0,,0,West,,1.8K,3 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[], Lalitpur, Sano Gaun
"SOLD OUT : House For Sale In Budhanilkantha, Kathmandu","['Rudreshwor Chowk Bus Stop', ' Budhanilkantha', ' Kathmandu']","NPR. 4,95,00,000 Total price",0,0,,0,South,,4.8K,9 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking', 'Store Room']", Kathmandu, Budhanilkantha
